"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63"
"hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard","hard"
"Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs","Cs"
"6","1","1","0","1","3","0","5","6","1","0","3","9","3","2","3","0","2","4","0","0","0","0","0","2","0","0","2","3","11","5","3","4.94974746830583","0.707106781186547","2.82842712474619","3.53553390593274","4.94974746830583","2.12132034355964","8.48528137423857","3.53553390593274","1.41421356237309","2.82842712474619","0","0","1.41421356237309","1.41421356237309","9.89949493661166","5.65685424949238","4","4.5","5","8.5","3","0","2","11","6.01040764008565","9.54594154601839","2.12132034355964","9.19238815542512","11","8","13.4350288425444"
"1","1","0","1","3","0","5","6","1","0","3","9","3","2","3","0","2","4","0","0","0","0","0","2","0","0","2","3","11","5","3","2","1.41421356237309","0.707106781186547","2.12132034355964","7.77817459305202","0.707106781186547","8.48528137423857","3.53553390593274","2.12132034355964","4.24264068711928","0","0","1.41421356237309","0","3.53553390593274","11.3137084989848","3.53553390593274","1.5","7","6.5","4","3","1","2.5","10.5","6.01040764008565","7.42462120245875","2.82842712474619","9.19238815542512","9.49999999999999","8.5","12.7279220613578"
"1","0","1","3","0","5","6","1","0","3","9","3","2","3","0","2","4","0","0","0","0","0","2","0","0","2","3","11","5","3","2","4","0.707106781186547","2.82842712474619","3.53553390593274","4.94974746830583","2.12132034355964","8.48528137423857","3.53553390593274","1.41421356237309","2.82842712474619","0","0","1.41421356237309","1.41421356237309","9.89949493661166","5.65685424949238","4.24264068711928","2.5","6","7.5","3.5","2","1","8","7","6.01040764008565","7.77817459305202","2.12132034355964","10.6066017177982","9.74999999999999","9","13.2582521472478"
"0","1","3","0","5","6","1","0","3","9","3","2","3","0","2","4","0","0","0","0","0","2","0","0","2","3","11","5","3","2","4","2","0.707106781186547","2.12132034355964","7.77817459305202","0.707106781186547","8.48528137423857","3.53553390593274","2.12132034355964","4.24264068711928","0","0","1.41421356237309","0","3.53553390593274","11.3137084989848","3.53553390593274","4.24264068711928","2","6","8.5","4.5","0","1","10.5","5.5","5.65685424949238","9.19238815542511","0.707106781186547","11.3137084989848","10.5","8.5","13.4350288425444"
"1","3","0","5","6","1","0","3","9","3","2","3","0","2","4","0","0","0","0","0","2","0","0","2","3","11","5","3","2","4","2","0","2.82842712474619","3.53553390593274","4.94974746830583","2.12132034355964","8.48528137423857","3.53553390593274","1.41421356237309","2.82842712474619","0","0","1.41421356237309","1.41421356237309","9.89949493661166","5.65685424949238","4.24264068711928","1.41421356237309","4.5","5","8.5","3","0","2","11","4","6.7175144212722","8.13172798364529","1.41421356237309","10.6066017177982","10.5","8.5","13.4350288425444"
"3","0","5","6","1","0","3","9","3","2","3","0","2","4","0","0","0","0","0","2","0","0","2","3","11","5","3","2","4","2","0","1","2.12132034355964","7.77817459305202","0.707106781186547","8.48528137423857","3.53553390593274","2.12132034355964","4.24264068711928","0","0","1.41421356237309","0","3.53553390593274","11.3137084989848","3.53553390593274","4.24264068711928","0.707106781186547","7","6.5","4","3","1","2.5","10.5","3.5","9.54594154601839","4.94974746830583","2.47487373415292","9.89949493661166","10.25","8.75","13.4350288425444"
"0","5","6","1","0","3","9","3","2","3","0","2","4","0","0","0","0","0","2","0","0","2","3","11","5","3","2","4","2","0","1","2","3.53553390593274","4.94974746830583","2.12132034355964","8.48528137423857","3.53553390593274","1.41421356237309","2.82842712474619","0","0","1.41421356237309","1.41421356237309","9.89949493661166","5.65685424949238","4.24264068711928","1.41421356237309","2.12132034355964","6","7.5","3.5","2","1","8","7","2.5","9.54594154601839","3.88908729652601","6.36396103067893","6.7175144212722","9.49999999999999","9.25","13.2582521472478"
"5","6","1","0","3","9","3","2","3","0","2","4","0","0","0","0","0","2","0","0","2","3","11","5","3","2","4","2","0","1","2","0","7.77817459305202","0.707106781186547","8.48528137423857","3.53553390593274","2.12132034355964","4.24264068711928","0","0","1.41421356237309","0","3.53553390593274","11.3137084989848","3.53553390593274","4.24264068711928","0.707106781186547","1.41421356237309","6","8.5","4.5","0","1","10.5","5.5","1.5","10.2530483272049","3.18198051533946","8.13172798364529","4.94974746830583","9.49999999999999","9.25","13.2582521472478"
"6","1","0","3","9","3","2","3","0","2","4","0","0","0","0","0","2","0","0","2","3","11","5","3","2","4","2","0","1","2","0","1","4.94974746830583","2.12132034355964","8.48528137423857","3.53553390593274","1.41421356237309","2.82842712474619","0","0","1.41421356237309","1.41421356237309","9.89949493661166","5.65685424949238","4.24264068711928","1.41421356237309","2.12132034355964","0.707106781186547","5","8.5","3","0","2","11","4","2","9.54594154601839","2.12132034355964","9.19238815542512","4.24264068711928","8.25","9.5","12.5511453660612"
"1","0","3","9","3","2","3","0","2","4","0","0","0","0","0","2","0","0","2","3","11","5","3","2","4","2","0","1","2","0","1","3","0.707106781186547","8.48528137423857","3.53553390593274","2.12132034355964","4.24264068711928","0","0","1.41421356237309","0","3.53553390593274","11.3137084989848","3.53553390593274","4.24264068711928","0.707106781186547","1.41421356237309","2.82842712474619","6.5","4","3","1","2.5","10.5","3.5","3","7.42462120245875","2.82842712474619","9.19238815542512","4.59619407771256","7.25","9.75","12.0208152801713"
"0","3","9","3","2","3","0","2","4","0","0","0","0","0","2","0","0","2","3","11","5","3","2","4","2","0","1","2","0","1","3","0","2.12132034355964","8.48528137423857","3.53553390593274","1.41421356237309","2.82842712474619","0","0","1.41421356237309","1.41421356237309","9.89949493661166","5.65685424949238","4.24264068711928","1.41421356237309","2.12132034355964","0.707106781186547","2.12132034355964","7.5","3.5","2","1","8","7","2.5","2","7.77817459305202","2.12132034355964","10.6066017177982","3.18198051533946","7","9.75","11.8440385848747"
